Tiempo de predicción,Año,Presupuesto de horas,Horas acertadas
168,2021,10,0
168,2021,20,0
168,2021,30,0
168,2021,40,0
168,2021,50,0
168,2021,60,0
168,2021,70,0
168,2021,80,0
168,2021,90,0
168,2021,100,0
168,2021,110,0
168,2021,120,0
168,2021,130,0
168,2021,140,0
168,2021,150,0
168,2021,160,0
168,2021,170,0
168,2021,180,1
168,2021,190,2
168,2021,200,5
168,2021,210,5
168,2021,220,5
168,2021,230,7
168,2021,240,8
168,2021,250,10
168,2021,260,11
168,2021,270,12
168,2021,280,12
168,2021,290,13
168,2021,300,15
168,2021,310,17
168,2021,320,18
168,2021,330,18
168,2021,340,18
168,2021,350,19
168,2021,360,20
168,2021,370,22
168,2021,380,24
168,2021,390,27
168,2021,400,29
24,2021,10,0
24,2021,20,0
24,2021,30,0
24,2021,40,0
24,2021,50,0
24,2021,60,0
24,2021,70,0
24,2021,80,0
24,2021,90,0
24,2021,100,0
24,2021,110,0
24,2021,120,1
24,2021,130,2
24,2021,140,3
24,2021,150,3
24,2021,160,4
24,2021,170,6
24,2021,180,6
24,2021,190,6
24,2021,200,9
24,2021,210,13
24,2021,220,13
24,2021,230,15
24,2021,240,16
24,2021,250,17
24,2021,260,18
24,2021,270,20
24,2021,280,22
24,2021,290,22
24,2021,300,22
24,2021,310,24
24,2021,320,25
24,2021,330,26
24,2021,340,28
24,2021,350,30
24,2021,360,31
24,2021,370,32
24,2021,380,36
24,2021,390,38
24,2021,400,40
6,2021,10,0
6,2021,20,0
6,2021,30,0
6,2021,40,0
6,2021,50,0
6,2021,60,0
6,2021,70,0
6,2021,80,0
6,2021,90,0
6,2021,100,0
6,2021,110,0
6,2021,120,1
6,2021,130,2
6,2021,140,2
6,2021,150,2
6,2021,160,3
6,2021,170,4
6,2021,180,7
6,2021,190,9
6,2021,200,12
6,2021,210,14
6,2021,220,15
6,2021,230,16
6,2021,240,17
6,2021,250,18
6,2021,260,19
6,2021,270,19
6,2021,280,23
6,2021,290,23
6,2021,300,23
6,2021,310,23
6,2021,320,26
6,2021,330,28
6,2021,340,29
6,2021,350,30
6,2021,360,33
6,2021,370,34
6,2021,380,34
6,2021,390,34
6,2021,400,35
3,2021,10,0
3,2021,20,0
3,2021,30,0
3,2021,40,0
3,2021,50,0
3,2021,60,0
3,2021,70,0
3,2021,80,0
3,2021,90,0
3,2021,100,2
3,2021,110,2
3,2021,120,2
3,2021,130,2
3,2021,140,2
3,2021,150,3
3,2021,160,4
3,2021,170,5
3,2021,180,6
3,2021,190,6
3,2021,200,7
3,2021,210,9
3,2021,220,10
3,2021,230,13
3,2021,240,15
3,2021,250,18
3,2021,260,21
3,2021,270,23
3,2021,280,25
3,2021,290,27
3,2021,300,28
3,2021,310,28
3,2021,320,29
3,2021,330,31
3,2021,340,33
3,2021,350,34
3,2021,360,35
3,2021,370,36
3,2021,380,38
3,2021,390,38
3,2021,400,38
2,2021,10,0
2,2021,20,0
2,2021,30,0
2,2021,40,0
2,2021,50,0
2,2021,60,0
2,2021,70,0
2,2021,80,0
2,2021,90,0
2,2021,100,0
2,2021,110,1
2,2021,120,2
2,2021,130,2
2,2021,140,2
2,2021,150,2
2,2021,160,4
2,2021,170,5
2,2021,180,5
2,2021,190,6
2,2021,200,7
2,2021,210,7
2,2021,220,8
2,2021,230,10
2,2021,240,11
2,2021,250,15
2,2021,260,18
2,2021,270,19
2,2021,280,26
2,2021,290,26
2,2021,300,27
2,2021,310,28
2,2021,320,28
2,2021,330,29
2,2021,340,31
2,2021,350,34
2,2021,360,34
2,2021,370,35
2,2021,380,35
2,2021,390,36
2,2021,400,39
1,2021,10,0
1,2021,20,0
1,2021,30,0
1,2021,40,0
1,2021,50,0
1,2021,60,0
1,2021,70,0
1,2021,80,0
1,2021,90,0
1,2021,100,0
1,2021,110,0
1,2021,120,0
1,2021,130,1
1,2021,140,2
1,2021,150,2
1,2021,160,4
1,2021,170,4
1,2021,180,5
1,2021,190,5
1,2021,200,6
1,2021,210,7
1,2021,220,9
1,2021,230,9
1,2021,240,11
1,2021,250,13
1,2021,260,15
1,2021,270,19
1,2021,280,21
1,2021,290,24
1,2021,300,24
1,2021,310,25
1,2021,320,26
1,2021,330,28
1,2021,340,28
1,2021,350,32
1,2021,360,32
1,2021,370,33
1,2021,380,34
1,2021,390,36
1,2021,400,36
168,2022,10,4
168,2022,20,7
168,2022,30,14
168,2022,40,19
168,2022,50,21
168,2022,60,24
168,2022,70,29
168,2022,80,34
168,2022,90,37
168,2022,100,38
168,2022,110,40
168,2022,120,41
168,2022,130,44
168,2022,140,45
168,2022,150,47
168,2022,160,47
168,2022,170,47
168,2022,180,48
168,2022,190,48
168,2022,200,50
168,2022,210,51
168,2022,220,53
168,2022,230,54
168,2022,240,56
168,2022,250,57
168,2022,260,59
168,2022,270,59
168,2022,280,60
168,2022,290,61
168,2022,300,62
168,2022,310,62
168,2022,320,63
168,2022,330,63
168,2022,340,63
168,2022,350,64
168,2022,360,66
168,2022,370,67
168,2022,380,67
168,2022,390,67
168,2022,400,68
24,2022,10,7
24,2022,20,12
24,2022,30,17
24,2022,40,22
24,2022,50,28
24,2022,60,34
24,2022,70,38
24,2022,80,43
24,2022,90,46
24,2022,100,49
24,2022,110,51
24,2022,120,51
24,2022,130,53
24,2022,140,57
24,2022,150,59
24,2022,160,59
24,2022,170,59
24,2022,180,61
24,2022,190,61
24,2022,200,61
24,2022,210,62
24,2022,220,62
24,2022,230,62
24,2022,240,62
24,2022,250,64
24,2022,260,66
24,2022,270,66
24,2022,280,67
24,2022,290,67
24,2022,300,67
24,2022,310,67
24,2022,320,68
24,2022,330,68
24,2022,340,70
24,2022,350,70
24,2022,360,72
24,2022,370,72
24,2022,380,72
24,2022,390,72
24,2022,400,73
6,2022,10,5
6,2022,20,10
6,2022,30,11
6,2022,40,15
6,2022,50,16
6,2022,60,19
6,2022,70,22
6,2022,80,26
6,2022,90,29
6,2022,100,32
6,2022,110,34
6,2022,120,36
6,2022,130,37
6,2022,140,38
6,2022,150,40
6,2022,160,43
6,2022,170,45
6,2022,180,48
6,2022,190,50
6,2022,200,51
6,2022,210,53
6,2022,220,54
6,2022,230,55
6,2022,240,57
6,2022,250,60
6,2022,260,62
6,2022,270,62
6,2022,280,65
6,2022,290,66
6,2022,300,66
6,2022,310,67
6,2022,320,67
6,2022,330,67
6,2022,340,67
6,2022,350,68
6,2022,360,68
6,2022,370,69
6,2022,380,70
6,2022,390,71
6,2022,400,72
3,2022,10,7
3,2022,20,11
3,2022,30,17
3,2022,40,19
3,2022,50,25
3,2022,60,30
3,2022,70,33
3,2022,80,36
3,2022,90,41
3,2022,100,46
3,2022,110,49
3,2022,120,51
3,2022,130,52
3,2022,140,54
3,2022,150,55
3,2022,160,55
3,2022,170,56
3,2022,180,59
3,2022,190,59
3,2022,200,59
3,2022,210,60
3,2022,220,62
3,2022,230,63
3,2022,240,63
3,2022,250,64
3,2022,260,66
3,2022,270,67
3,2022,280,68
3,2022,290,69
3,2022,300,70
3,2022,310,71
3,2022,320,72
3,2022,330,72
3,2022,340,73
3,2022,350,74
3,2022,360,74
3,2022,370,74
3,2022,380,75
3,2022,390,75
3,2022,400,76
2,2022,10,8
2,2022,20,14
2,2022,30,17
2,2022,40,22
2,2022,50,28
2,2022,60,33
2,2022,70,35
2,2022,80,40
2,2022,90,44
2,2022,100,48
2,2022,110,52
2,2022,120,54
2,2022,130,55
2,2022,140,56
2,2022,150,57
2,2022,160,59
2,2022,170,59
2,2022,180,61
2,2022,190,61
2,2022,200,62
2,2022,210,63
2,2022,220,64
2,2022,230,65
2,2022,240,67
2,2022,250,67
2,2022,260,69
2,2022,270,69
2,2022,280,70
2,2022,290,71
2,2022,300,71
2,2022,310,72
2,2022,320,73
2,2022,330,73
2,2022,340,73
2,2022,350,73
2,2022,360,73
2,2022,370,73
2,2022,380,73
2,2022,390,74
2,2022,400,74
1,2022,10,10
1,2022,20,15
1,2022,30,20
1,2022,40,23
1,2022,50,31
1,2022,60,34
1,2022,70,39
1,2022,80,43
1,2022,90,47
1,2022,100,53
1,2022,110,54
1,2022,120,56
1,2022,130,58
1,2022,140,59
1,2022,150,60
1,2022,160,60
1,2022,170,61
1,2022,180,62
1,2022,190,62
1,2022,200,65
1,2022,210,66
1,2022,220,68
1,2022,230,68
1,2022,240,68
1,2022,250,70
1,2022,260,70
1,2022,270,71
1,2022,280,72
1,2022,290,72
1,2022,300,72
1,2022,310,72
1,2022,320,72
1,2022,330,73
1,2022,340,74
1,2022,350,75
1,2022,360,75
1,2022,370,75
1,2022,380,75
1,2022,390,75
1,2022,400,76
168,2023,10,3
168,2023,20,6
168,2023,30,8
168,2023,40,8
168,2023,50,9
168,2023,60,10
168,2023,70,11
168,2023,80,11
168,2023,90,13
168,2023,100,13
168,2023,110,14
168,2023,120,14
168,2023,130,14
168,2023,140,16
168,2023,150,18
168,2023,160,20
168,2023,170,21
168,2023,180,22
168,2023,190,23
168,2023,200,24
168,2023,210,26
168,2023,220,28
168,2023,230,31
168,2023,240,35
168,2023,250,37
168,2023,260,37
168,2023,270,38
168,2023,280,40
168,2023,290,41
168,2023,300,42
168,2023,310,43
168,2023,320,44
168,2023,330,45
168,2023,340,47
168,2023,350,51
168,2023,360,53
168,2023,370,53
168,2023,380,55
168,2023,390,56
168,2023,400,58
24,2023,10,6
24,2023,20,10
24,2023,30,12
24,2023,40,14
24,2023,50,14
24,2023,60,17
24,2023,70,18
24,2023,80,19
24,2023,90,20
24,2023,100,24
24,2023,110,27
24,2023,120,30
24,2023,130,32
24,2023,140,33
24,2023,150,38
24,2023,160,39
24,2023,170,43
24,2023,180,46
24,2023,190,47
24,2023,200,49
24,2023,210,50
24,2023,220,52
24,2023,230,54
24,2023,240,56
24,2023,250,58
24,2023,260,59
24,2023,270,59
24,2023,280,60
24,2023,290,61
24,2023,300,62
24,2023,310,63
24,2023,320,64
24,2023,330,64
24,2023,340,64
24,2023,350,66
24,2023,360,68
24,2023,370,68
24,2023,380,70
24,2023,390,70
24,2023,400,72
6,2023,10,4
6,2023,20,8
6,2023,30,11
6,2023,40,11
6,2023,50,13
6,2023,60,13
6,2023,70,14
6,2023,80,15
6,2023,90,16
6,2023,100,16
6,2023,110,18
6,2023,120,18
6,2023,130,19
6,2023,140,20
6,2023,150,22
6,2023,160,25
6,2023,170,26
6,2023,180,27
6,2023,190,28
6,2023,200,30
6,2023,210,31
6,2023,220,32
6,2023,230,32
6,2023,240,33
6,2023,250,36
6,2023,260,39
6,2023,270,39
6,2023,280,41
6,2023,290,43
6,2023,300,46
6,2023,310,46
6,2023,320,46
6,2023,330,48
6,2023,340,50
6,2023,350,50
6,2023,360,51
6,2023,370,52
6,2023,380,52
6,2023,390,55
6,2023,400,56
3,2023,10,6
3,2023,20,10
3,2023,30,12
3,2023,40,12
3,2023,50,13
3,2023,60,13
3,2023,70,13
3,2023,80,15
3,2023,90,17
3,2023,100,18
3,2023,110,20
3,2023,120,24
3,2023,130,25
3,2023,140,28
3,2023,150,28
3,2023,160,33
3,2023,170,37
3,2023,180,39
3,2023,190,40
3,2023,200,41
3,2023,210,41
3,2023,220,45
3,2023,230,47
3,2023,240,47
3,2023,250,49
3,2023,260,51
3,2023,270,53
3,2023,280,55
3,2023,290,56
3,2023,300,56
3,2023,310,57
3,2023,320,58
3,2023,330,58
3,2023,340,59
3,2023,350,60
3,2023,360,61
3,2023,370,62
3,2023,380,63
3,2023,390,63
3,2023,400,65
2,2023,10,8
2,2023,20,11
2,2023,30,12
2,2023,40,13
2,2023,50,13
2,2023,60,13
2,2023,70,13
2,2023,80,17
2,2023,90,19
2,2023,100,22
2,2023,110,22
2,2023,120,26
2,2023,130,27
2,2023,140,27
2,2023,150,30
2,2023,160,33
2,2023,170,34
2,2023,180,38
2,2023,190,40
2,2023,200,42
2,2023,210,42
2,2023,220,47
2,2023,230,49
2,2023,240,51
2,2023,250,53
2,2023,260,54
2,2023,270,55
2,2023,280,55
2,2023,290,56
2,2023,300,56
2,2023,310,57
2,2023,320,58
2,2023,330,63
2,2023,340,64
2,2023,350,64
2,2023,360,65
2,2023,370,66
2,2023,380,67
2,2023,390,68
2,2023,400,68
1,2023,10,5
1,2023,20,11
1,2023,30,13
1,2023,40,13
1,2023,50,13
1,2023,60,13
1,2023,70,15
1,2023,80,18
1,2023,90,20
1,2023,100,24
1,2023,110,26
1,2023,120,28
1,2023,130,31
1,2023,140,31
1,2023,150,33
1,2023,160,34
1,2023,170,35
1,2023,180,37
1,2023,190,41
1,2023,200,45
1,2023,210,48
1,2023,220,50
1,2023,230,50
1,2023,240,53
1,2023,250,55
1,2023,260,57
1,2023,270,57
1,2023,280,58
1,2023,290,60
1,2023,300,61
1,2023,310,62
1,2023,320,63
1,2023,330,64
1,2023,340,65
1,2023,350,67
1,2023,360,67
1,2023,370,68
1,2023,380,69
1,2023,390,70
1,2023,400,72
168,2024,10,6
168,2024,20,10
168,2024,30,15
168,2024,40,17
168,2024,50,25
168,2024,60,28
168,2024,70,30
168,2024,80,34
168,2024,90,38
168,2024,100,42
168,2024,110,47
168,2024,120,49
168,2024,130,54
168,2024,140,56
168,2024,150,59
168,2024,160,62
168,2024,170,64
168,2024,180,65
168,2024,190,66
168,2024,200,67
168,2024,210,70
168,2024,220,72
168,2024,230,72
168,2024,240,74
168,2024,250,74
168,2024,260,75
168,2024,270,76
168,2024,280,78
168,2024,290,78
168,2024,300,78
168,2024,310,79
168,2024,320,80
168,2024,330,81
168,2024,340,81
168,2024,350,81
168,2024,360,81
168,2024,370,81
168,2024,380,82
168,2024,390,82
168,2024,400,82
24,2024,10,7
24,2024,20,15
24,2024,30,23
24,2024,40,28
24,2024,50,32
24,2024,60,37
24,2024,70,45
24,2024,80,52
24,2024,90,54
24,2024,100,58
24,2024,110,61
24,2024,120,65
24,2024,130,68
24,2024,140,73
24,2024,150,75
24,2024,160,76
24,2024,170,78
24,2024,180,80
24,2024,190,81
24,2024,200,82
24,2024,210,83
24,2024,220,85
24,2024,230,87
24,2024,240,88
24,2024,250,90
24,2024,260,90
24,2024,270,92
24,2024,280,92
24,2024,290,92
24,2024,300,92
24,2024,310,93
24,2024,320,93
24,2024,330,94
24,2024,340,95
24,2024,350,95
24,2024,360,95
24,2024,370,95
24,2024,380,95
24,2024,390,95
24,2024,400,95
6,2024,10,10
6,2024,20,18
6,2024,30,23
6,2024,40,30
6,2024,50,36
6,2024,60,40
6,2024,70,46
6,2024,80,49
6,2024,90,50
6,2024,100,54
6,2024,110,54
6,2024,120,57
6,2024,130,59
6,2024,140,62
6,2024,150,65
6,2024,160,65
6,2024,170,67
6,2024,180,67
6,2024,190,68
6,2024,200,70
6,2024,210,70
6,2024,220,71
6,2024,230,72
6,2024,240,72
6,2024,250,74
6,2024,260,76
6,2024,270,77
6,2024,280,79
6,2024,290,80
6,2024,300,80
6,2024,310,80
6,2024,320,81
6,2024,330,81
6,2024,340,81
6,2024,350,81
6,2024,360,81
6,2024,370,83
6,2024,380,83
6,2024,390,84
6,2024,400,85
3,2024,10,9
3,2024,20,16
3,2024,30,23
3,2024,40,28
3,2024,50,33
3,2024,60,38
3,2024,70,43
3,2024,80,45
3,2024,90,48
3,2024,100,51
3,2024,110,57
3,2024,120,58
3,2024,130,62
3,2024,140,63
3,2024,150,65
3,2024,160,70
3,2024,170,72
3,2024,180,73
3,2024,190,76
3,2024,200,76
3,2024,210,77
3,2024,220,81
3,2024,230,82
3,2024,240,85
3,2024,250,85
3,2024,260,86
3,2024,270,86
3,2024,280,86
3,2024,290,86
3,2024,300,87
3,2024,310,87
3,2024,320,87
3,2024,330,87
3,2024,340,87
3,2024,350,88
3,2024,360,89
3,2024,370,90
3,2024,380,91
3,2024,390,93
3,2024,400,94
2,2024,10,9
2,2024,20,15
2,2024,30,22
2,2024,40,28
2,2024,50,34
2,2024,60,38
2,2024,70,43
2,2024,80,46
2,2024,90,48
2,2024,100,51
2,2024,110,57
2,2024,120,58
2,2024,130,60
2,2024,140,66
2,2024,150,68
2,2024,160,70
2,2024,170,72
2,2024,180,74
2,2024,190,77
2,2024,200,80
2,2024,210,82
2,2024,220,82
2,2024,230,83
2,2024,240,85
2,2024,250,86
2,2024,260,86
2,2024,270,86
2,2024,280,86
2,2024,290,86
2,2024,300,86
2,2024,310,86
2,2024,320,87
2,2024,330,89
2,2024,340,91
2,2024,350,91
2,2024,360,91
2,2024,370,92
2,2024,380,94
2,2024,390,94
2,2024,400,94
1,2024,10,9
1,2024,20,16
1,2024,30,22
1,2024,40,28
1,2024,50,35
1,2024,60,40
1,2024,70,43
1,2024,80,48
1,2024,90,50
1,2024,100,55
1,2024,110,57
1,2024,120,61
1,2024,130,64
1,2024,140,67
1,2024,150,69
1,2024,160,71
1,2024,170,75
1,2024,180,76
1,2024,190,79
1,2024,200,81
